Front	Back	Tags
[부정형] 전자조달시스템의 발전 과정에 대한 설명으로 옳지 않은 것은?<br><br>① 1970년대 후반 공공조달 데이터의 수집·추적을 목적으로 미국의 연방조달데이터시스템(FPDS) 등이 도입되었다.<br>② 1980~1990년대에는 EDI와 같은 전자적 통신수단을 기반으로 한 문서처리 플랫폼이 사용되기 시작했다.<br>③ 전자적 문서처리 플랫폼의 도입 목적은 업무 시간과 인적 오류 발생 가능성을 줄이는 데 있었다.<br>④ 민간부문의 구매시스템이나 전통적 공공조달 관행을 그대로 반영해 설계할수록 전자조달시스템의 이점을 확보하기 쉽다.	<b>정답</b>: ④ 민간부문의 구매시스템이나 전통적 공공조달 관행을 그대로 반영해 설계할수록 전자조달시스템의 이점을 확보하기 쉽다.<br><br>민간 구매시스템이나 종이 기반의 전통적 관행을 그대로 옮겨 설계한 시스템은 전자조달시스템 고유의 이점을 얻기 어렵다는 점이 핵심이다.<br><br><b>근거</b>: 민간부문의 구매시스템이나 전통적인 공공조달 관행을 반영하려는 경우도 있다. 그러나 이런 형태로 설계, 구축된 시스템은 공공조달을 위한 전자조달시스템이 얻을 수 있는 이점을 확보하기 어렵다.<br><b>출처</b>: docs/공식책/공공조달의 이해.pdf#제3장-1.2-전자조달시스템의-유형	subject_1 S1.M3.SB1.D2 negative source
전자조달시스템 유형에서 조심할 선택지는?<br><br>전자조달시스템의 발전 과정에 대한 설명으로 옳지 않은 것은?	① 1970년대 후반 공공조달 데이터의 수집·추적을 목적으로 미국의 연방조달데이터시스템(FPDS) 등이 도입되었다. — FPDS 등 1970년대 후반 도입 사실을 정확히 서술했다.<br>② 1980~1990년대에는 EDI와 같은 전자적 통신수단을 기반으로 한 문서처리 플랫폼이 사용되기 시작했다. — EDI 기반 문서처리 플랫폼의 도입 시기를 정확히 서술했다.<br>③ 전자적 문서처리 플랫폼의 도입 목적은 업무 시간과 인적 오류 발생 가능성을 줄이는 데 있었다. — 종이 기반 프로세스 탈피의 목적이 시간 단축과 인적 오류 감소였다는 서술은 옳다.<br>④ 민간부문의 구매시스템이나 전통적 공공조달 관행을 그대로 반영해 설계할수록 전자조달시스템의 이점을 확보하기 쉽다. — 전통적 관행을 그대로 반영한 설계는 오히려 이점 확보를 어렵게 하므로 옳지 않다.<br><br><b>난이도</b>: 중요	subject_1 S1.M3.SB1.D2 negative trap
[핵심개념] 종합쇼핑몰 이용절차	<b>출제 포인트</b>: 조달청 종합쇼핑몰은 2006년 다수공급자계약제도가 도입되면서 수요기관이 검증된 공급업체의 물품에 쉽게 접근해 구매할 수 있도록 민간부문의 오픈마켓 같은 개념으로 구축된 디지털마켓플레이스이다. 전자조달시스템의 전자카탈로그 기능과 전자구매 기능을 결합해 구현한 전자적 조달업무 처리 도구이다.<br><br><b>문제 연결</b>: 종합쇼핑몰은 전자카탈로그 + 전자구매를 결합한 디지털마켓플레이스다. 등록 대상은 단가계약·제3자단가계약·다수공급자계약 물품과 용역이며, 납품요구서는 조달청이 발행한다.<br><b>출처</b>: docs/공식책/공공조달의 이해.pdf#제3장-3.1-종합쇼핑몰-활용	subject_1 S1.M3.SB2.D1 positive concept
[기본형] 조달청 종합쇼핑몰에 대한 설명으로 옳은 것은?<br><br>① 2006년 다수공급자계약제도 도입과 함께 구축된 디지털마켓플레이스로, 전자카탈로그 기능과 전자구매 기능을 결합한 것이다.<br>② 종합쇼핑몰에 등록 가능한 물품은 일반경쟁입찰을 거친 물품에 한정된다.<br>③ 수요기관은 물품을 선택한 뒤 공급업체에 직접 납품요구서를 발행한다.<br>④ 조달기업은 종합쇼핑몰을 이용하더라도 매 건마다 별도의 입찰 절차를 거쳐야 한다.	<b>정답</b>: ① 2006년 다수공급자계약제도 도입과 함께 구축된 디지털마켓플레이스로, 전자카탈로그 기능과 전자구매 기능을 결합한 것이다.<br><br>종합쇼핑몰은 전자카탈로그 + 전자구매를 결합한 디지털마켓플레이스다. 등록 대상은 단가계약·제3자단가계약·다수공급자계약 물품과 용역이며, 납품요구서는 조달청이 발행한다.<br><br><b>근거</b>: 조달청 종합쇼핑몰은 2006년 다수공급자계약제도가 도입되면서 수요기관이 검증된 공급업체의 물품에 쉽게 접근해 구매할 수 있도록 민간부문의 오픈마켓 같은 개념으로 구축된 디지털마켓플레이스이다. 전자조달시스템의 전자카탈로그 기능과 전자구매 기능을 결합해 구현한 전자적 조달업무 처리 도구이다.<br><b>출처</b>: docs/공식책/공공조달의 이해.pdf#제3장-3.1-종합쇼핑몰-활용	subject_1 S1.M3.SB2.D1 positive source
종합쇼핑몰 이용절차에서 조심할 선택지는?<br><br>조달청 종합쇼핑몰에 대한 설명으로 옳은 것은?	① 2006년 다수공급자계약제도 도입과 함께 구축된 디지털마켓플레이스로, 전자카탈로그 기능과 전자구매 기능을 결합한 것이다. — 2006년 다수공급자계약제도 도입과 함께 구축된 배경과 결합 기능을 정확히 서술해 정답이다.<br>② 종합쇼핑몰에 등록 가능한 물품은 일반경쟁입찰을 거친 물품에 한정된다. — 등록 가능 물품은 조달청이 체결한 단가계약·제3자단가계약·다수공급자계약 물품과 용역(서비스)이다.<br>③ 수요기관은 물품을 선택한 뒤 공급업체에 직접 납품요구서를 발행한다. — 수요기관은 조달청으로 조달요청서를 발송하고, 납품요구서는 조달청이 발행한다.<br>④ 조달기업은 종합쇼핑몰을 이용하더라도 매 건마다 별도의 입찰 절차를 거쳐야 한다. — 조달기업은 별도의 입찰 절차 없이 납품요구를 받으면 즉시 납품할 수 있다.<br><br><b>난이도</b>: 중요	subject_1 S1.M3.SB2.D1 positive trap
[핵심개념] 혁신장터 활용 계약	"<b>출제 포인트</b>: 혁신제품 지정 후 3년 동안 수의계약이 가능(「국가계약법 시행령」 제26조, 「지방계약법 시행령」 제25조)하며, 필요한 경우 위원회의 심의를 거쳐 최대 3년 범위 내에서 연장할 수 있다.<br><br><b>문제 연결</b>: 혁신제품은 지정 후 3년간 수의계약이 가능하고, 위원회 심의를 거쳐 최대 3년까지 연장할 수 있다. ""연장 불가""로 단정하는 선택지가 함정이다.<br><b>출처</b>: docs/공식책/공공조달의 이해.pdf#제3장-혁신장터-혁신제품-지정"	subject_1 S1.M3.SB2.D2 numeric concept
[숫자 암기] 혁신제품으로 지정된 경우 수의계약이 가능한 기간과 연장 가능 범위를 옳게 짝지은 것은?<br><br>① 지정 후 3년, 위원회 심의를 거쳐 최대 3년 범위 내 연장<br>② 지정 후 2년, 위원회 심의를 거쳐 최대 2년 범위 내 연장<br>③ 지정 후 5년, 연장 불가<br>④ 지정 후 3년, 연장 불가	"<b>정답</b>: ① 지정 후 3년, 위원회 심의를 거쳐 최대 3년 범위 내 연장<br><br>혁신제품은 지정 후 3년간 수의계약이 가능하고, 위원회 심의를 거쳐 최대 3년까지 연장할 수 있다. ""연장 불가""로 단정하는 선택지가 함정이다.<br><br><b>근거</b>: 혁신제품 지정 후 3년 동안 수의계약이 가능(「국가계약법 시행령」 제26조, 「지방계약법 시행령」 제25조)하며, 필요한 경우 위원회의 심의를 거쳐 최대 3년 범위 내에서 연장할 수 있다.<br><b>출처</b>: docs/공식책/공공조달의 이해.pdf#제3장-혁신장터-혁신제품-지정"	subject_1 S1.M3.SB2.D2 numeric source
혁신장터 활용 계약에서 조심할 선택지는?<br><br>혁신제품으로 지정된 경우 수의계약이 가능한 기간과 연장 가능 범위를 옳게 짝지은 것은?	① 지정 후 3년, 위원회 심의를 거쳐 최대 3년 범위 내 연장 — 3년 수의계약과 최대 3년 연장을 정확히 짝지어 정답이다.<br>② 지정 후 2년, 위원회 심의를 거쳐 최대 2년 범위 내 연장 — 기간이 2년이라는 서술은 규정과 다르다.<br>③ 지정 후 5년, 연장 불가 — 수의계약 가능 기간은 5년이 아니며 연장도 가능하다.<br>④ 지정 후 3년, 연장 불가 — 위원회 심의를 거쳐 연장할 수 있으므로 연장 불가는 옳지 않다.<br><br><b>난이도</b>: 중요	subject_1 S1.M3.SB2.D2 numeric trap
[핵심개념] 벤처나라 활용 계약	<b>출제 포인트</b>: 벤처나라에 등록된 창업기업과 벤처기업 제품은 6년간 바로주문, 견적주문 등을 거쳐 공공기관에서 구매할 수 있다. 구매 가능 금액은 추정가격 기준 2,000만 원 이하(여성기업, 장애인기업, 사회적기업 등은 5,000만 원)까지 구매 가능하다.<br><br><b>문제 연결</b>: 벤처나라 구매 한도는 추정가격 2,000만 원 이하가 원칙이며, 여성기업·장애인기업·사회적기업 등은 5,000만 원으로 상향된다. 1인 견적 소액수의계약의 상향 기준과 같은 금액이다.<br><b>출처</b>: docs/공식책/공공조달의 이해.pdf#제3장-벤처나라-활용-계약	subject_1 S1.M3.SB2.D3 numeric concept
[숫자 암기] 벤처나라에 등록된 창업기업·벤처기업 제품의 구매 가능 금액(추정가격 기준)으로 옳은 것은?<br><br>① 일반적으로 2,000만 원 이하, 여성기업·장애인기업·사회적기업 등은 5,000만 원 이하<br>② 일반적으로 5,000만 원 이하, 여성기업·장애인기업·사회적기업 등은 1억 원 이하<br>③ 일반적으로 1,000만 원 이하, 여성기업·장애인기업·사회적기업 등은 2,000만 원 이하<br>④ 기업 유형과 관계없이 일률적으로 2,000만 원 이하	<b>정답</b>: ① 일반적으로 2,000만 원 이하, 여성기업·장애인기업·사회적기업 등은 5,000만 원 이하<br><br>벤처나라 구매 한도는 추정가격 2,000만 원 이하가 원칙이며, 여성기업·장애인기업·사회적기업 등은 5,000만 원으로 상향된다. 1인 견적 소액수의계약의 상향 기준과 같은 금액이다.<br><br><b>근거</b>: 벤처나라에 등록된 창업기업과 벤처기업 제품은 6년간 바로주문, 견적주문 등을 거쳐 공공기관에서 구매할 수 있다. 구매 가능 금액은 추정가격 기준 2,000만 원 이하(여성기업, 장애인기업, 사회적기업 등은 5,000만 원)까지 구매 가능하다.<br><b>출처</b>: docs/공식책/공공조달의 이해.pdf#제3장-벤처나라-활용-계약	subject_1 S1.M3.SB2.D3 numeric source
벤처나라 활용 계약에서 조심할 선택지는?<br><br>벤처나라에 등록된 창업기업·벤처기업 제품의 구매 가능 금액(추정가격 기준)으로 옳은 것은?	① 일반적으로 2,000만 원 이하, 여성기업·장애인기업·사회적기업 등은 5,000만 원 이하 — 2,000만 원 원칙과 5,000만 원 상향 기준을 정확히 서술해 정답이다.<br>② 일반적으로 5,000만 원 이하, 여성기업·장애인기업·사회적기업 등은 1억 원 이하 — 5,000만 원과 1억 원은 벤처나라 구매 한도 기준이 아니다.<br>③ 일반적으로 1,000만 원 이하, 여성기업·장애인기업·사회적기업 등은 2,000만 원 이하 — 1,000만 원·2,000만 원은 규정된 한도와 다르다.<br>④ 기업 유형과 관계없이 일률적으로 2,000만 원 이하 — 여성기업·장애인기업·사회적기업 등은 5,000만 원으로 상향되므로 일률적이지 않다.<br><br><b>난이도</b>: 함정	subject_1 S1.M3.SB2.D3 numeric trap
[핵심개념] 물품목록법령의 개요	<b>출제 포인트</b>: 「물품목록법」은 물품의 분류체계를 통일하고, 물품정보에 관한 자료를 수집, 분석, 정리해 목록화(目錄化)하고 전산화함으로써 물품의 생산, 수급(需給), 관리, 운용 등 모든 분야에서 경제적, 효율적 관리를 지원한다.<br><br><b>문제 연결</b>: 물품목록법의 목적은 분류체계 통일과 물품정보의 목록화·전산화이며, 목록정보시스템은 나라장터와 연계되어 이를 지원한다.<br><b>출처</b>: docs/공식책/공공조달의 이해.pdf#제3장-제4절-목록정보시스템-개요	subject_1 S1.M3.SB3.D1 positive concept
[기본형] 「물품목록법」과 목록정보시스템에 대한 설명으로 옳은 것은?<br><br>① 물품의 분류체계를 통일하고 물품정보 자료를 수집·분석·정리해 목록화하고 전산화하는 것을 목적으로 한다.<br>② 목록정보시스템은 나라장터와 분리되어 독립적으로만 운영된다.<br>③ 목록화 대상은 조달청이 직접 구매하는 물품에 한정된다.<br>④ 물품목록법은 물품의 생산 분야를 제외한 수급·관리 분야만을 적용 대상으로 한다.	<b>정답</b>: ① 물품의 분류체계를 통일하고 물품정보 자료를 수집·분석·정리해 목록화하고 전산화하는 것을 목적으로 한다.<br><br>물품목록법의 목적은 분류체계 통일과 물품정보의 목록화·전산화이며, 목록정보시스템은 나라장터와 연계되어 이를 지원한다.<br><br><b>근거</b>: 「물품목록법」은 물품의 분류체계를 통일하고, 물품정보에 관한 자료를 수집, 분석, 정리해 목록화(目錄化)하고 전산화함으로써 물품의 생산, 수급(需給), 관리, 운용 등 모든 분야에서 경제적, 효율적 관리를 지원한다.<br><b>출처</b>: docs/공식책/공공조달의 이해.pdf#제3장-제4절-목록정보시스템-개요	subject_1 S1.M3.SB3.D1 positive source
물품목록법령의 개요에서 조심할 선택지는?<br><br>「물품목록법」과 목록정보시스템에 대한 설명으로 옳은 것은?	① 물품의 분류체계를 통일하고 물품정보 자료를 수집·분석·정리해 목록화하고 전산화하는 것을 목적으로 한다. — 분류체계 통일과 목록화·전산화라는 제정 목적을 정확히 서술해 정답이다.<br>② 목록정보시스템은 나라장터와 분리되어 독립적으로만 운영된다. — 목록정보시스템은 나라장터와 연계되어 운영된다.<br>③ 목록화 대상은 조달청이 직접 구매하는 물품에 한정된다. — 국가기관과 지방자치단체 등 공공부문이 관리해야 하는 물품정보를 대상으로 하므로 조달청 직접 구매 물품에 한정되지 않는다.<br>④ 물품목록법은 물품의 생산 분야를 제외한 수급·관리 분야만을 적용 대상으로 한다. — 생산, 수급, 관리, 운용 등 모든 분야를 대상으로 한다.<br><br><b>난이도</b>: 기초	subject_1 S1.M3.SB3.D1 positive trap
[핵심개념] 중소기업과 공공구매제도 이해	<b>출제 포인트</b>: 기술개발제품 우선구매제도는 공공기관이 물품을 구매할 경우, 물품 구매액의 15% 이상을 중소기업이 개발한 기술개발제품(성능인증, NET, NEP, GS, 우수조달물품 등 13종)으로 우선구매해 중소기업 기술개발제품의 판로를 지원하는 제도이다.<br><br><b>문제 연결</b>: 기술개발제품 우선구매 목표비율은 물품 구매액의 15% 이상이며, 대상은 성능인증·NEP·NET·GS·우수조달물품 등 13종이다.<br><b>출처</b>: docs/공식책/공공조달의 이해.pdf#제5장-기술개발제품-우선구매제도	subject_1 S1.M4.SB1.D1 numeric concept
[숫자 암기] 기술개발제품 우선구매제도에서 공공기관이 물품 구매액 중 중소기업 기술개발제품으로 우선구매해야 하는 비율은?<br><br>① 5% 이상<br>② 10% 이상<br>③ 15% 이상<br>④ 20% 이상	<b>정답</b>: ③ 15% 이상<br><br>기술개발제품 우선구매 목표비율은 물품 구매액의 15% 이상이며, 대상은 성능인증·NEP·NET·GS·우수조달물품 등 13종이다.<br><br><b>근거</b>: 기술개발제품 우선구매제도는 공공기관이 물품을 구매할 경우, 물품 구매액의 15% 이상을 중소기업이 개발한 기술개발제품(성능인증, NET, NEP, GS, 우수조달물품 등 13종)으로 우선구매해 중소기업 기술개발제품의 판로를 지원하는 제도이다.<br><b>출처</b>: docs/공식책/공공조달의 이해.pdf#제5장-기술개발제품-우선구매제도	subject_1 S1.M4.SB1.D1 numeric source
중소기업과 공공구매제도 이해에서 조심할 선택지는?<br><br>기술개발제품 우선구매제도에서 공공기관이 물품 구매액 중 중소기업 기술개발제품으로 우선구매해야 하는 비율은?	① 5% 이상 — 5%는 여성기업의 물품·용역 공급 실적 목표비율과 혼동한 수치다.<br>② 10% 이상 — 10%는 기술개발제품 우선구매 목표비율이 아니다.<br>③ 15% 이상 — 물품 구매액의 15% 이상이 기술개발제품 우선구매 목표비율이므로 정답이다.<br>④ 20% 이상 — 20%는 규정된 목표비율보다 높다.<br><br><b>난이도</b>: 중요	subject_1 S1.M4.SB1.D1 numeric trap
[핵심개념] 녹색제품 우선구매제도 이해	<b>출제 포인트</b>: 국내의 녹색 공공조달은 2005년 7월에 공표된 「녹색제품 구매촉진에 관한 법률」 제6조에 따라 공공기관의 녹색제품 구매를 의무화하고 있다. 이는 환경부의 '녹색제품 우선구매제도'를 중심으로 실행되고 있으며, 국가 중앙조달기관인 조달청은 최소녹색 기준제품, 종합낙찰제 등 구체적인 녹색공공조달제도를 수립해 운영하고 있다.<br><br><b>문제 연결</b>: 녹색 공공조달의 법적 근거는 「녹색제품 구매촉진에 관한 법률」 제6조이며, 환경부가 우선구매제도를 주관하고 조달청은 최소녹색 기준제품·종합낙찰제 등을 운영한다.<br><b>출처</b>: docs/공식책/공공조달의 이해.pdf#제5장-녹색제품-우선구매제도	subject_1 S1.M4.SB2.D2 positive concept
[기본형] 국내 녹색 공공조달의 근거와 운영에 대한 설명으로 옳은 것은?<br><br>① 2005년 공표된 「녹색제품 구매촉진에 관한 법률」 제6조에 따라 공공기관의 녹색제품 구매를 의무화하고 있다.<br>② 녹색제품 우선구매제도는 조달청이 아닌 기획재정부가 주관해 운영한다.<br>③ 녹색제품 구매는 공공기관의 자율 권고사항이며 의무화되어 있지 않다.<br>④ 조달청은 녹색조달과 관련한 별도의 제도를 운영하지 않는다.	<b>정답</b>: ① 2005년 공표된 「녹색제품 구매촉진에 관한 법률」 제6조에 따라 공공기관의 녹색제품 구매를 의무화하고 있다.<br><br>녹색 공공조달의 법적 근거는 「녹색제품 구매촉진에 관한 법률」 제6조이며, 환경부가 우선구매제도를 주관하고 조달청은 최소녹색 기준제품·종합낙찰제 등을 운영한다.<br><br><b>근거</b>: 국내의 녹색 공공조달은 2005년 7월에 공표된 「녹색제품 구매촉진에 관한 법률」 제6조에 따라 공공기관의 녹색제품 구매를 의무화하고 있다. 이는 환경부의 '녹색제품 우선구매제도'를 중심으로 실행되고 있으며, 국가 중앙조달기관인 조달청은 최소녹색 기준제품, 종합낙찰제 등 구체적인 녹색공공조달제도를 수립해 운영하고 있다.<br><b>출처</b>: docs/공식책/공공조달의 이해.pdf#제5장-녹색제품-우선구매제도	subject_1 S1.M4.SB2.D2 positive source
녹색제품 우선구매제도 이해에서 조심할 선택지는?<br><br>국내 녹색 공공조달의 근거와 운영에 대한 설명으로 옳은 것은?	① 2005년 공표된 「녹색제품 구매촉진에 관한 법률」 제6조에 따라 공공기관의 녹색제품 구매를 의무화하고 있다. — 법률명과 제정 시기, 의무화 근거를 정확히 서술해 정답이다.<br>② 녹색제품 우선구매제도는 조달청이 아닌 기획재정부가 주관해 운영한다. — 녹색제품 우선구매제도는 환경부를 중심으로 실행된다.<br>③ 녹색제품 구매는 공공기관의 자율 권고사항이며 의무화되어 있지 않다. — 해당 법률 제6조에 따라 구매가 의무화되어 있으므로 자율 권고가 아니다.<br>④ 조달청은 녹색조달과 관련한 별도의 제도를 운영하지 않는다. — 조달청은 최소녹색 기준제품, 종합낙찰제 등 녹색공공조달제도를 운영한다.<br><br><b>난이도</b>: 중요	subject_1 S1.M4.SB2.D2 positive trap
[핵심개념] 우수조달물품 지정제도의 이해	<b>출제 포인트</b>: 우수조달물품 지정제도는 1996년 중소기업의 기술력 제고와 유효경쟁력 향상이라는 정책적 목적에 따라 기술개발제품의 통합적 우선구매 형태로 도입되었다. 2017년 OECD에서는 공공조달을 활용한 혁신 촉진의 대표적 사례로 캐나다 BCIP, 영국 SBRI와 함께 우리나라의 우수조달물품(EGSP) 지정제도를 우수사례로 소개했다.<br><br><b>문제 연결</b>: 우수조달물품 지정제도는 1996년 도입된 중소기업 기술개발제품 우선구매제도로, OECD가 혁신 촉진 우수사례로 소개한 바 있다.<br><b>출처</b>: docs/공식책/공공조달의 이해.pdf#제5장-4.2-우수제품-지정제도의-이해	subject_1 S1.M4.SB3.D2 positive concept
[기본형] 우수조달물품 지정제도에 대한 설명으로 옳은 것은?<br><br>① 1996년 중소기업의 기술력 제고와 유효경쟁력 향상이라는 정책적 목적에 따라 기술개발제품의 통합적 우선구매 형태로 도입되었다.<br>② 2019년 혁신제품 지정제도와 함께 신설된 제도이다.<br>③ 대기업의 기술개발 성과를 우선 지원하기 위해 도입되었다.<br>④ OECD는 우리나라의 우수조달물품 지정제도를 규제 사례로 지적한 바 있다.	<b>정답</b>: ① 1996년 중소기업의 기술력 제고와 유효경쟁력 향상이라는 정책적 목적에 따라 기술개발제품의 통합적 우선구매 형태로 도입되었다.<br><br>우수조달물품 지정제도는 1996년 도입된 중소기업 기술개발제품 우선구매제도로, OECD가 혁신 촉진 우수사례로 소개한 바 있다.<br><br><b>근거</b>: 우수조달물품 지정제도는 1996년 중소기업의 기술력 제고와 유효경쟁력 향상이라는 정책적 목적에 따라 기술개발제품의 통합적 우선구매 형태로 도입되었다. 2017년 OECD에서는 공공조달을 활용한 혁신 촉진의 대표적 사례로 캐나다 BCIP, 영국 SBRI와 함께 우리나라의 우수조달물품(EGSP) 지정제도를 우수사례로 소개했다.<br><b>출처</b>: docs/공식책/공공조달의 이해.pdf#제5장-4.2-우수제품-지정제도의-이해	subject_1 S1.M4.SB3.D2 positive source
우수조달물품 지정제도의 이해에서 조심할 선택지는?<br><br>우수조달물품 지정제도에 대한 설명으로 옳은 것은?	① 1996년 중소기업의 기술력 제고와 유효경쟁력 향상이라는 정책적 목적에 따라 기술개발제품의 통합적 우선구매 형태로 도입되었다. — 도입 연도와 정책적 목적을 정확히 서술해 정답이다.<br>② 2019년 혁신제품 지정제도와 함께 신설된 제도이다. — 2019년 시행된 것은 혁신제품 지정제도이며 우수조달물품 지정제도는 1996년 도입되었다.<br>③ 대기업의 기술개발 성과를 우선 지원하기 위해 도입되었다. — 중소기업의 기술력 제고와 유효경쟁력 향상이 도입 목적이다.<br>④ OECD는 우리나라의 우수조달물품 지정제도를 규제 사례로 지적한 바 있다. — OECD는 규제 사례가 아니라 혁신 촉진의 우수사례로 소개했다.<br><br><b>난이도</b>: 함정	subject_1 S1.M4.SB3.D2 positive trap
[핵심개념] 여성기업 우선구매제도 이해	<b>출제 포인트</b>: 여성기업(물품·용역 공급 실적의 5% 이상, 공사 실적의 3% 이상), 장애인기업(1%)에는 보다 세부적인 접근성 제고 기준이 적용된다.<br><br><b>문제 연결</b>: 여성기업은 물품·용역 5% 이상, 공사 3% 이상, 장애인기업은 1%가 목표비율이다. 물품·용역과 공사의 비율이 다르다는 점이 함정 포인트다.<br><b>출처</b>: docs/공식책/공공조달의 이해.pdf#제2장-접근성-원칙-우선구매-목표비율	subject_1 S1.M4.SB4.D3 numeric concept
[숫자 암기] 여성기업과 장애인기업에 적용되는 공공기관 우선구매 목표비율을 옳게 짝지은 것은?<br><br>① 여성기업: 물품·용역 5% 이상, 공사 3% 이상 / 장애인기업: 1%<br>② 여성기업: 물품·용역 3% 이상, 공사 5% 이상 / 장애인기업: 5%<br>③ 여성기업: 물품·용역 1% 이상, 공사 1% 이상 / 장애인기업: 3%<br>④ 여성기업: 물품·용역 10% 이상, 공사 5% 이상 / 장애인기업: 5%	<b>정답</b>: ① 여성기업: 물품·용역 5% 이상, 공사 3% 이상 / 장애인기업: 1%<br><br>여성기업은 물품·용역 5% 이상, 공사 3% 이상, 장애인기업은 1%가 목표비율이다. 물품·용역과 공사의 비율이 다르다는 점이 함정 포인트다.<br><br><b>근거</b>: 여성기업(물품·용역 공급 실적의 5% 이상, 공사 실적의 3% 이상), 장애인기업(1%)에는 보다 세부적인 접근성 제고 기준이 적용된다.<br><b>출처</b>: docs/공식책/공공조달의 이해.pdf#제2장-접근성-원칙-우선구매-목표비율	subject_1 S1.M4.SB4.D3 numeric source
여성기업 우선구매제도 이해에서 조심할 선택지는?<br><br>여성기업과 장애인기업에 적용되는 공공기관 우선구매 목표비율을 옳게 짝지은 것은?	① 여성기업: 물품·용역 5% 이상, 공사 3% 이상 / 장애인기업: 1% — 여성기업 5%/3%, 장애인기업 1%를 정확히 짝지어 정답이다.<br>② 여성기업: 물품·용역 3% 이상, 공사 5% 이상 / 장애인기업: 5% — 여성기업의 물품·용역 비율과 공사 비율이 뒤바뀌었고 장애인기업 비율도 다르다.<br>③ 여성기업: 물품·용역 1% 이상, 공사 1% 이상 / 장애인기업: 3% — 여성기업의 목표비율이 규정보다 낮게 제시되었다.<br>④ 여성기업: 물품·용역 10% 이상, 공사 5% 이상 / 장애인기업: 5% — 여성기업 10%는 규정된 목표비율이 아니다.<br><br><b>난이도</b>: 함정	subject_1 S1.M4.SB4.D3 numeric trap
[핵심개념] 장애인기업 우선구매제도 이해	<b>출제 포인트</b>: 소액수의계약은(여성기업, 장애인 기업, 사회적기업 등의 경우는 5,000만원 이하), 나라장터를 통해 1인 견적으로 처리하며, 구매금액이 2천만원을 초과(여성기업, 장애인 기업, 사회적기업 등의 경우는 5,000만원)하는 경우 2인 이상 견적 절차를 따른다.<br><br><b>문제 연결</b>: 1인 견적 소액수의계약 한도는 2,000만 원이며, 여성기업·장애인기업·사회적기업 등은 5,000만 원으로 상향된다. 그 초과분부터 1억 원 이하는 2인 이상 견적 대상이다.<br><b>출처</b>: docs/공식책/공공조달의 이해.pdf#제3장-나라장터-소액수의계약	subject_1 S1.M4.SB4.D1 numeric concept
[숫자 암기] 나라장터에서 1인 견적 소액수의계약이 가능한 금액 기준으로 옳은 것은?<br><br>① 2,000만 원 이하이며, 여성기업·장애인기업·사회적기업 등은 5,000만 원 이하<br>② 5,000만 원 이하이며, 여성기업·장애인기업·사회적기업 등은 1억 원 이하<br>③ 1억 원 이하이며, 기업 유형에 따른 차등은 없다.<br>④ 2,000만 원 이하이며, 기업 유형에 따른 차등은 없다.	<b>정답</b>: ① 2,000만 원 이하이며, 여성기업·장애인기업·사회적기업 등은 5,000만 원 이하<br><br>1인 견적 소액수의계약 한도는 2,000만 원이며, 여성기업·장애인기업·사회적기업 등은 5,000만 원으로 상향된다. 그 초과분부터 1억 원 이하는 2인 이상 견적 대상이다.<br><br><b>근거</b>: 소액수의계약은(여성기업, 장애인 기업, 사회적기업 등의 경우는 5,000만원 이하), 나라장터를 통해 1인 견적으로 처리하며, 구매금액이 2천만원을 초과(여성기업, 장애인 기업, 사회적기업 등의 경우는 5,000만원)하는 경우 2인 이상 견적 절차를 따른다.<br><b>출처</b>: docs/공식책/공공조달의 이해.pdf#제3장-나라장터-소액수의계약	subject_1 S1.M4.SB4.D1 numeric source
장애인기업 우선구매제도 이해에서 조심할 선택지는?<br><br>나라장터에서 1인 견적 소액수의계약이 가능한 금액 기준으로 옳은 것은?	① 2,000만 원 이하이며, 여성기업·장애인기업·사회적기업 등은 5,000만 원 이하 — 2,000만 원 원칙과 5,000만 원 상향 기준을 정확히 서술해 정답이다.<br>② 5,000만 원 이하이며, 여성기업·장애인기업·사회적기업 등은 1억 원 이하 — 5,000만 원은 상향 대상 기업의 기준이지 일반 기준이 아니다.<br>③ 1억 원 이하이며, 기업 유형에 따른 차등은 없다. — 1억 원은 2인 이상 견적 수의계약의 상한이며 기업 유형별 차등도 존재한다.<br>④ 2,000만 원 이하이며, 기업 유형에 따른 차등은 없다. — 여성기업·장애인기업·사회적기업 등은 5,000만 원으로 상향되므로 차등이 있다.<br><br><b>난이도</b>: 함정	subject_1 S1.M4.SB4.D1 numeric trap
[핵심개념] 계약의 체결 및 이행 규정	<b>출제 포인트</b>: 계약보증금은 계약금액의 100분의 10 이상 납부해야 하나 재난·경기침체·대량실업 등으로 발생한 국가의 경제위기를 극복하기 위해 기획재정부 장관이 고시하는 경우에는 100분의 5 이상으로 조정할 수 있다. 다만 계약금액이 5,000만 원 이하인 계약 등에서는 계약보증금의 전부 또는 일부를 면제할 수 있다.<br><br><b>문제 연결</b>: 원칙은 계약금액의 100분의 10 이상이고, 경제위기 시 기획재정부 장관 고시로 100분의 5 이상까지 낮출 수 있다. 면제 가능 기준은 계약금액 5,000만 원 이하다.<br><b>출처</b>: docs/공식책/공공조달의 이해.pdf#제6장-계약보증금-국가계약법-시행령-제50조	subject_1 S1.M5.SB2.D4 numeric concept
