Front	Back	Tags
전자조달를 다른 개념과 헷갈리지 않으려면 어떤 단어에 표시할까?	<b>표시할 단어</b>: 전자조달<br><b>연결 범위</b>: 전자조달시스템의 이해<br><b>암기 문장</b>: 입찰과 계약 관련 일을 온라인 시스템으로 처리하는 것이다.	chapter_3 e_procurement keyword_anchor
전자조달 관련 문제에서 제거해야 할 선택지 패턴은?	"<b>제거 패턴</b>: ""항상"", ""오직"", ""가격만"", ""절차 생략"", ""조달청만""처럼 범위를 과도하게 단정하는 표현입니다.<br><br><b>정답 방향</b>: 입찰과 계약 관련 일을 온라인 시스템으로 처리하는 것이다."	chapter_3 e_procurement choice_elimination
나라장터이란?	나라장터는 국가종합전자조달시스템으로 공공조달의 입찰, 계약, 정보 제공 등 주요 절차를 전자적으로 지원한다.<br><br><b>쉬운 말</b>: 공공기관과 업체가 조달 절차를 처리하는 대표 온라인 창구다.<br><b>출처</b>: 공공조달의 이해 제3장 제2절	chapter_3 나라장터 definition
나라장터에서 조심할 오답 함정은?	나라장터를 조달청 내부 업무 시스템으로만 보면 범위가 좁다.<br><br><b>복습 힌트</b>: 공공기관과 업체가 조달 절차를 처리하는 대표 온라인 창구다.	chapter_3 나라장터 trap
나라장터를 10초 안에 쉬운 말로 설명하면?	공공기관과 업체가 조달 절차를 처리하는 대표 온라인 창구다.<br><br><b>시험 포인트</b>: 나라장터는 국가종합전자조달시스템으로 공공조달의 입찰, 계약, 정보 제공 등 주요 절차를 전자적으로 지원한다.	chapter_3 나라장터 adhd_short
공공조달의 이해 제3장 제2절의 핵심 키워드는?	<b>나라장터</b><br>전자조달시스템의 이해<br>chapter_3, 나라장터	chapter_3 나라장터 source_map
"시험장에서 ""나라장터""가 나오면 먼저 떠올릴 기준은?"	<b>판단 기준</b>: 공공기관과 업체가 조달 절차를 처리하는 대표 온라인 창구다.<br><br><b>왜 중요한가</b>: 나라장터는 국가종합전자조달시스템으로 공공조달의 입찰, 계약, 정보 제공 등 주요 절차를 전자적으로 지원한다.	chapter_3 나라장터 exam_trigger
"다음 표현이 왜 위험할까?<br>""나라장터를 조달청 내부 업무 시스템으로만 보면 범위가 좁다."""	<b>위험한 이유</b>: 이 표현은 나라장터의 범위를 좁히거나 원칙과 예외를 섞을 수 있습니다.<br><br><b>정리</b>: 나라장터는 국가종합전자조달시스템으로 공공조달의 입찰, 계약, 정보 제공 등 주요 절차를 전자적으로 지원한다.	chapter_3 나라장터 wrong_phrase
나라장터를 다른 개념과 헷갈리지 않으려면 어떤 단어에 표시할까?	<b>표시할 단어</b>: 나라장터<br><b>연결 범위</b>: 전자조달시스템의 이해<br><b>암기 문장</b>: 공공기관과 업체가 조달 절차를 처리하는 대표 온라인 창구다.	chapter_3 나라장터 keyword_anchor
나라장터 관련 문제에서 제거해야 할 선택지 패턴은?	"<b>제거 패턴</b>: ""항상"", ""오직"", ""가격만"", ""절차 생략"", ""조달청만""처럼 범위를 과도하게 단정하는 표현입니다.<br><br><b>정답 방향</b>: 공공기관과 업체가 조달 절차를 처리하는 대표 온라인 창구다."	chapter_3 나라장터 choice_elimination
연계 계약 관리 지원시스템이란?	나라장터와 연계되는 계약 관리 지원시스템은 조달 업무의 처리, 정보 공유, 사후관리를 보완한다.<br><br><b>쉬운 말</b>: 나라장터만으로 끝나는 것이 아니라 계약 관리 업무를 돕는 관련 시스템들이 있다.<br><b>출처</b>: 공공조달의 이해 제3장 제3절	chapter_3 contract_system definition
연계 계약 관리 지원시스템에서 조심할 오답 함정은?	전자조달을 입찰 공고 단계로만 한정하면 계약 관리 연계를 놓친다.<br><br><b>복습 힌트</b>: 나라장터만으로 끝나는 것이 아니라 계약 관리 업무를 돕는 관련 시스템들이 있다.	chapter_3 contract_system trap
연계 계약 관리 지원시스템를 10초 안에 쉬운 말로 설명하면?	나라장터만으로 끝나는 것이 아니라 계약 관리 업무를 돕는 관련 시스템들이 있다.<br><br><b>시험 포인트</b>: 나라장터와 연계되는 계약 관리 지원시스템은 조달 업무의 처리, 정보 공유, 사후관리를 보완한다.	chapter_3 contract_system adhd_short
공공조달의 이해 제3장 제3절의 핵심 키워드는?	<b>연계 계약 관리 지원시스템</b><br>전자조달시스템의 이해<br>chapter_3, contract_system	chapter_3 contract_system source_map
"시험장에서 ""연계 계약 관리 지원시스템""가 나오면 먼저 떠올릴 기준은?"	<b>판단 기준</b>: 나라장터만으로 끝나는 것이 아니라 계약 관리 업무를 돕는 관련 시스템들이 있다.<br><br><b>왜 중요한가</b>: 나라장터와 연계되는 계약 관리 지원시스템은 조달 업무의 처리, 정보 공유, 사후관리를 보완한다.	chapter_3 contract_system exam_trigger
"다음 표현이 왜 위험할까?<br>""전자조달을 입찰 공고 단계로만 한정하면 계약 관리 연계를 놓친다."""	<b>위험한 이유</b>: 이 표현은 연계 계약 관리 지원시스템의 범위를 좁히거나 원칙과 예외를 섞을 수 있습니다.<br><br><b>정리</b>: 나라장터와 연계되는 계약 관리 지원시스템은 조달 업무의 처리, 정보 공유, 사후관리를 보완한다.	chapter_3 contract_system wrong_phrase
연계 계약 관리 지원시스템를 다른 개념과 헷갈리지 않으려면 어떤 단어에 표시할까?	<b>표시할 단어</b>: 연계 계약 관리 지원시스템<br><b>연결 범위</b>: 전자조달시스템의 이해<br><b>암기 문장</b>: 나라장터만으로 끝나는 것이 아니라 계약 관리 업무를 돕는 관련 시스템들이 있다.	chapter_3 contract_system keyword_anchor
연계 계약 관리 지원시스템 관련 문제에서 제거해야 할 선택지 패턴은?	"<b>제거 패턴</b>: ""항상"", ""오직"", ""가격만"", ""절차 생략"", ""조달청만""처럼 범위를 과도하게 단정하는 표현입니다.<br><br><b>정답 방향</b>: 나라장터만으로 끝나는 것이 아니라 계약 관리 업무를 돕는 관련 시스템들이 있다."	chapter_3 contract_system choice_elimination
목록정보시스템이란?	목록정보시스템은 조달 대상 물품의 식별, 분류, 속성 정보를 관리해 구매와 계약의 정확성을 높인다.<br><br><b>쉬운 말</b>: 물품 이름과 분류를 통일해 같은 물건을 같은 기준으로 찾게 해주는 체계다.<br><b>출처</b>: 공공조달의 이해 제3장 제4절	chapter_3 catalog definition
목록정보시스템에서 조심할 오답 함정은?	목록정보를 단순 가격표로 이해하면 틀리기 쉽다.<br><br><b>복습 힌트</b>: 물품 이름과 분류를 통일해 같은 물건을 같은 기준으로 찾게 해주는 체계다.	chapter_3 catalog trap
목록정보시스템를 10초 안에 쉬운 말로 설명하면?	물품 이름과 분류를 통일해 같은 물건을 같은 기준으로 찾게 해주는 체계다.<br><br><b>시험 포인트</b>: 목록정보시스템은 조달 대상 물품의 식별, 분류, 속성 정보를 관리해 구매와 계약의 정확성을 높인다.	chapter_3 catalog adhd_short
공공조달의 이해 제3장 제4절의 핵심 키워드는?	<b>목록정보시스템</b><br>전자조달시스템의 이해<br>chapter_3, catalog	chapter_3 catalog source_map
"시험장에서 ""목록정보시스템""가 나오면 먼저 떠올릴 기준은?"	<b>판단 기준</b>: 물품 이름과 분류를 통일해 같은 물건을 같은 기준으로 찾게 해주는 체계다.<br><br><b>왜 중요한가</b>: 목록정보시스템은 조달 대상 물품의 식별, 분류, 속성 정보를 관리해 구매와 계약의 정확성을 높인다.	chapter_3 catalog exam_trigger
"다음 표현이 왜 위험할까?<br>""목록정보를 단순 가격표로 이해하면 틀리기 쉽다."""	<b>위험한 이유</b>: 이 표현은 목록정보시스템의 범위를 좁히거나 원칙과 예외를 섞을 수 있습니다.<br><br><b>정리</b>: 목록정보시스템은 조달 대상 물품의 식별, 분류, 속성 정보를 관리해 구매와 계약의 정확성을 높인다.	chapter_3 catalog wrong_phrase
목록정보시스템를 다른 개념과 헷갈리지 않으려면 어떤 단어에 표시할까?	<b>표시할 단어</b>: 목록정보시스템<br><b>연결 범위</b>: 전자조달시스템의 이해<br><b>암기 문장</b>: 물품 이름과 분류를 통일해 같은 물건을 같은 기준으로 찾게 해주는 체계다.	chapter_3 catalog keyword_anchor
목록정보시스템 관련 문제에서 제거해야 할 선택지 패턴은?	"<b>제거 패턴</b>: ""항상"", ""오직"", ""가격만"", ""절차 생략"", ""조달청만""처럼 범위를 과도하게 단정하는 표현입니다.<br><br><b>정답 방향</b>: 물품 이름과 분류를 통일해 같은 물건을 같은 기준으로 찾게 해주는 체계다."	chapter_3 catalog choice_elimination
전략적 공공조달이란?	전략적 공공조달은 구매력을 활용해 효율적 구매뿐 아니라 산업, 환경, 혁신, 사회적 가치 등 정책 목표를 달성하는 접근이다.<br><br><b>쉬운 말</b>: 정부가 사는 힘을 활용해 좋은 정책 효과까지 만들려는 조달이다.<br><b>출처</b>: 공공조달의 이해 제4장 제1절	chapter_4 strategic_procurement definition
전략적 공공조달에서 조심할 오답 함정은?	전략적 공공조달을 가격 절감 전략으로만 보면 핵심이 빠진다.<br><br><b>복습 힌트</b>: 정부가 사는 힘을 활용해 좋은 정책 효과까지 만들려는 조달이다.	chapter_4 strategic_procurement trap
전략적 공공조달를 10초 안에 쉬운 말로 설명하면?	정부가 사는 힘을 활용해 좋은 정책 효과까지 만들려는 조달이다.<br><br><b>시험 포인트</b>: 전략적 공공조달은 구매력을 활용해 효율적 구매뿐 아니라 산업, 환경, 혁신, 사회적 가치 등 정책 목표를 달성하는 접근이다.	chapter_4 strategic_procurement adhd_short
공공조달의 이해 제4장 제1절의 핵심 키워드는?	<b>전략적 공공조달</b><br>전략적 공공조달<br>chapter_4, strategic_procurement	chapter_4 strategic_procurement source_map
"시험장에서 ""전략적 공공조달""가 나오면 먼저 떠올릴 기준은?"	<b>판단 기준</b>: 정부가 사는 힘을 활용해 좋은 정책 효과까지 만들려는 조달이다.<br><br><b>왜 중요한가</b>: 전략적 공공조달은 구매력을 활용해 효율적 구매뿐 아니라 산업, 환경, 혁신, 사회적 가치 등 정책 목표를 달성하는 접근이다.	chapter_4 strategic_procurement exam_trigger
"다음 표현이 왜 위험할까?<br>""전략적 공공조달을 가격 절감 전략으로만 보면 핵심이 빠진다."""	<b>위험한 이유</b>: 이 표현은 전략적 공공조달의 범위를 좁히거나 원칙과 예외를 섞을 수 있습니다.<br><br><b>정리</b>: 전략적 공공조달은 구매력을 활용해 효율적 구매뿐 아니라 산업, 환경, 혁신, 사회적 가치 등 정책 목표를 달성하는 접근이다.	chapter_4 strategic_procurement wrong_phrase
전략적 공공조달를 다른 개념과 헷갈리지 않으려면 어떤 단어에 표시할까?	<b>표시할 단어</b>: 전략적 공공조달<br><b>연결 범위</b>: 전략적 공공조달<br><b>암기 문장</b>: 정부가 사는 힘을 활용해 좋은 정책 효과까지 만들려는 조달이다.	chapter_4 strategic_procurement keyword_anchor
전략적 공공조달 관련 문제에서 제거해야 할 선택지 패턴은?	"<b>제거 패턴</b>: ""항상"", ""오직"", ""가격만"", ""절차 생략"", ""조달청만""처럼 범위를 과도하게 단정하는 표현입니다.<br><br><b>정답 방향</b>: 정부가 사는 힘을 활용해 좋은 정책 효과까지 만들려는 조달이다."	chapter_4 strategic_procurement choice_elimination
중소기업 조달이란?	중소기업 조달은 공공구매를 통해 중소기업의 판로와 경쟁 기반을 지원하는 정책적 조달 영역이다.<br><br><b>쉬운 말</b>: 공공시장을 중소기업 성장의 발판으로 쓰는 제도다.<br><b>출처</b>: 공공조달의 이해 제4장 제2절	chapter_4 sme definition
중소기업 조달에서 조심할 오답 함정은?	중소기업 조달을 특혜로만 이해하면 정책 목적을 놓친다.<br><br><b>복습 힌트</b>: 공공시장을 중소기업 성장의 발판으로 쓰는 제도다.	chapter_4 sme trap
중소기업 조달를 10초 안에 쉬운 말로 설명하면?	공공시장을 중소기업 성장의 발판으로 쓰는 제도다.<br><br><b>시험 포인트</b>: 중소기업 조달은 공공구매를 통해 중소기업의 판로와 경쟁 기반을 지원하는 정책적 조달 영역이다.	chapter_4 sme adhd_short
공공조달의 이해 제4장 제2절의 핵심 키워드는?	<b>중소기업 조달</b><br>전략적 공공조달<br>chapter_4, sme	chapter_4 sme source_map
"시험장에서 ""중소기업 조달""가 나오면 먼저 떠올릴 기준은?"	<b>판단 기준</b>: 공공시장을 중소기업 성장의 발판으로 쓰는 제도다.<br><br><b>왜 중요한가</b>: 중소기업 조달은 공공구매를 통해 중소기업의 판로와 경쟁 기반을 지원하는 정책적 조달 영역이다.	chapter_4 sme exam_trigger
"다음 표현이 왜 위험할까?<br>""중소기업 조달을 특혜로만 이해하면 정책 목적을 놓친다."""	<b>위험한 이유</b>: 이 표현은 중소기업 조달의 범위를 좁히거나 원칙과 예외를 섞을 수 있습니다.<br><br><b>정리</b>: 중소기업 조달은 공공구매를 통해 중소기업의 판로와 경쟁 기반을 지원하는 정책적 조달 영역이다.	chapter_4 sme wrong_phrase
중소기업 조달를 다른 개념과 헷갈리지 않으려면 어떤 단어에 표시할까?	<b>표시할 단어</b>: 중소기업 조달<br><b>연결 범위</b>: 전략적 공공조달<br><b>암기 문장</b>: 공공시장을 중소기업 성장의 발판으로 쓰는 제도다.	chapter_4 sme keyword_anchor
중소기업 조달 관련 문제에서 제거해야 할 선택지 패턴은?	"<b>제거 패턴</b>: ""항상"", ""오직"", ""가격만"", ""절차 생략"", ""조달청만""처럼 범위를 과도하게 단정하는 표현입니다.<br><br><b>정답 방향</b>: 공공시장을 중소기업 성장의 발판으로 쓰는 제도다."	chapter_4 sme choice_elimination
녹색공공조달이란?	녹색공공조달은 환경성을 고려한 제품과 서비스를 우선 구매해 친환경 생산과 소비를 촉진하는 조달이다.<br><br><b>쉬운 말</b>: 공공기관이 친환경 제품을 사서 시장을 바꾸는 방식이다.<br><b>출처</b>: 공공조달의 이해 제4장 제3절	chapter_4 green definition
녹색공공조달에서 조심할 오답 함정은?	녹색조달은 단순히 색상이나 이미지가 친환경인 물품 구매가 아니다.<br><br><b>복습 힌트</b>: 공공기관이 친환경 제품을 사서 시장을 바꾸는 방식이다.	chapter_4 green trap
녹색공공조달를 10초 안에 쉬운 말로 설명하면?	공공기관이 친환경 제품을 사서 시장을 바꾸는 방식이다.<br><br><b>시험 포인트</b>: 녹색공공조달은 환경성을 고려한 제품과 서비스를 우선 구매해 친환경 생산과 소비를 촉진하는 조달이다.	chapter_4 green adhd_short
공공조달의 이해 제4장 제3절의 핵심 키워드는?	<b>녹색공공조달</b><br>전략적 공공조달<br>chapter_4, green	chapter_4 green source_map
"시험장에서 ""녹색공공조달""가 나오면 먼저 떠올릴 기준은?"	<b>판단 기준</b>: 공공기관이 친환경 제품을 사서 시장을 바꾸는 방식이다.<br><br><b>왜 중요한가</b>: 녹색공공조달은 환경성을 고려한 제품과 서비스를 우선 구매해 친환경 생산과 소비를 촉진하는 조달이다.	chapter_4 green exam_trigger
"다음 표현이 왜 위험할까?<br>""녹색조달은 단순히 색상이나 이미지가 친환경인 물품 구매가 아니다."""	<b>위험한 이유</b>: 이 표현은 녹색공공조달의 범위를 좁히거나 원칙과 예외를 섞을 수 있습니다.<br><br><b>정리</b>: 녹색공공조달은 환경성을 고려한 제품과 서비스를 우선 구매해 친환경 생산과 소비를 촉진하는 조달이다.	chapter_4 green wrong_phrase
녹색공공조달를 다른 개념과 헷갈리지 않으려면 어떤 단어에 표시할까?	<b>표시할 단어</b>: 녹색공공조달<br><b>연결 범위</b>: 전략적 공공조달<br><b>암기 문장</b>: 공공기관이 친환경 제품을 사서 시장을 바꾸는 방식이다.	chapter_4 green keyword_anchor
녹색공공조달 관련 문제에서 제거해야 할 선택지 패턴은?	"<b>제거 패턴</b>: ""항상"", ""오직"", ""가격만"", ""절차 생략"", ""조달청만""처럼 범위를 과도하게 단정하는 표현입니다.<br><br><b>정답 방향</b>: 공공기관이 친환경 제품을 사서 시장을 바꾸는 방식이다."	chapter_4 green choice_elimination
혁신 공공조달이란?	혁신 공공조달은 새로운 기술과 제품이 공공수요를 통해 실증과 시장 진입 기회를 얻도록 지원하는 조달이다.<br><br><b>쉬운 말</b>: 공공기관이 혁신 제품의 첫 시장이 되어주는 방식이다.<br><b>출처</b>: 공공조달의 이해 제4장 제4절	chapter_4 innovation definition
혁신 공공조달에서 조심할 오답 함정은?	혁신조달은 검증 없이 새롭기만 한 제품을 구매하는 제도가 아니다.<br><br><b>복습 힌트</b>: 공공기관이 혁신 제품의 첫 시장이 되어주는 방식이다.	chapter_4 innovation trap
혁신 공공조달를 10초 안에 쉬운 말로 설명하면?	공공기관이 혁신 제품의 첫 시장이 되어주는 방식이다.<br><br><b>시험 포인트</b>: 혁신 공공조달은 새로운 기술과 제품이 공공수요를 통해 실증과 시장 진입 기회를 얻도록 지원하는 조달이다.	chapter_4 innovation adhd_short
공공조달의 이해 제4장 제4절의 핵심 키워드는?	<b>혁신 공공조달</b><br>전략적 공공조달<br>chapter_4, innovation	chapter_4 innovation source_map
"시험장에서 ""혁신 공공조달""가 나오면 먼저 떠올릴 기준은?"	<b>판단 기준</b>: 공공기관이 혁신 제품의 첫 시장이 되어주는 방식이다.<br><br><b>왜 중요한가</b>: 혁신 공공조달은 새로운 기술과 제품이 공공수요를 통해 실증과 시장 진입 기회를 얻도록 지원하는 조달이다.	chapter_4 innovation exam_trigger
"다음 표현이 왜 위험할까?<br>""혁신조달은 검증 없이 새롭기만 한 제품을 구매하는 제도가 아니다."""	<b>위험한 이유</b>: 이 표현은 혁신 공공조달의 범위를 좁히거나 원칙과 예외를 섞을 수 있습니다.<br><br><b>정리</b>: 혁신 공공조달은 새로운 기술과 제품이 공공수요를 통해 실증과 시장 진입 기회를 얻도록 지원하는 조달이다.	chapter_4 innovation wrong_phrase
혁신 공공조달를 다른 개념과 헷갈리지 않으려면 어떤 단어에 표시할까?	<b>표시할 단어</b>: 혁신 공공조달<br><b>연결 범위</b>: 전략적 공공조달<br><b>암기 문장</b>: 공공기관이 혁신 제품의 첫 시장이 되어주는 방식이다.	chapter_4 innovation keyword_anchor
혁신 공공조달 관련 문제에서 제거해야 할 선택지 패턴은?	"<b>제거 패턴</b>: ""항상"", ""오직"", ""가격만"", ""절차 생략"", ""조달청만""처럼 범위를 과도하게 단정하는 표현입니다.<br><br><b>정답 방향</b>: 공공기관이 혁신 제품의 첫 시장이 되어주는 방식이다."	chapter_4 innovation choice_elimination
사회적 책임조달이란?	사회적 책임조달은 장애인기업, 사회적기업, 고용·노동, 지역 등 사회적 가치 실현을 고려하는 조달 접근이다.<br><br><b>쉬운 말</b>: 구매를 통해 공정한 사회적 효과를 함께 만들려는 방식이다.<br><b>출처</b>: 공공조달의 이해 제4장 제5절	chapter_4 social_value definition
사회적 책임조달에서 조심할 오답 함정은?	사회적 책임조달을 계약 성과와 무관한 부가 행사로 보면 안 된다.<br><br><b>복습 힌트</b>: 구매를 통해 공정한 사회적 효과를 함께 만들려는 방식이다.	chapter_4 social_value trap
사회적 책임조달를 10초 안에 쉬운 말로 설명하면?	구매를 통해 공정한 사회적 효과를 함께 만들려는 방식이다.<br><br><b>시험 포인트</b>: 사회적 책임조달은 장애인기업, 사회적기업, 고용·노동, 지역 등 사회적 가치 실현을 고려하는 조달 접근이다.	chapter_4 social_value adhd_short
공공조달의 이해 제4장 제5절의 핵심 키워드는?	<b>사회적 책임조달</b><br>전략적 공공조달<br>chapter_4, social_value	chapter_4 social_value source_map
"시험장에서 ""사회적 책임조달""가 나오면 먼저 떠올릴 기준은?"	<b>판단 기준</b>: 구매를 통해 공정한 사회적 효과를 함께 만들려는 방식이다.<br><br><b>왜 중요한가</b>: 사회적 책임조달은 장애인기업, 사회적기업, 고용·노동, 지역 등 사회적 가치 실현을 고려하는 조달 접근이다.	chapter_4 social_value exam_trigger
"다음 표현이 왜 위험할까?<br>""사회적 책임조달을 계약 성과와 무관한 부가 행사로 보면 안 된다."""	<b>위험한 이유</b>: 이 표현은 사회적 책임조달의 범위를 좁히거나 원칙과 예외를 섞을 수 있습니다.<br><br><b>정리</b>: 사회적 책임조달은 장애인기업, 사회적기업, 고용·노동, 지역 등 사회적 가치 실현을 고려하는 조달 접근이다.	chapter_4 social_value wrong_phrase
사회적 책임조달를 다른 개념과 헷갈리지 않으려면 어떤 단어에 표시할까?	<b>표시할 단어</b>: 사회적 책임조달<br><b>연결 범위</b>: 전략적 공공조달<br><b>암기 문장</b>: 구매를 통해 공정한 사회적 효과를 함께 만들려는 방식이다.	chapter_4 social_value keyword_anchor
사회적 책임조달 관련 문제에서 제거해야 할 선택지 패턴은?	"<b>제거 패턴</b>: ""항상"", ""오직"", ""가격만"", ""절차 생략"", ""조달청만""처럼 범위를 과도하게 단정하는 표현입니다.<br><br><b>정답 방향</b>: 구매를 통해 공정한 사회적 효과를 함께 만들려는 방식이다."	chapter_4 social_value choice_elimination
우선구매 제도이란?	우선구매 제도는 법령과 정책 목적에 따라 특정 대상 제품이나 기업의 제품을 공공기관이 우선 구매하도록 하는 제도다.<br><br><b>쉬운 말</b>: 정책적으로 키워야 할 제품이나 기업을 공공구매에서 먼저 고려하는 장치다.<br><b>출처</b>: 공공조달의 이해 제5장 제1절	chapter_5 priority_purchase definition
우선구매 제도에서 조심할 오답 함정은?	우선구매가 모든 경우에 일반 경쟁 원칙을 완전히 배제한다고 보면 틀리다.<br><br><b>복습 힌트</b>: 정책적으로 키워야 할 제품이나 기업을 공공구매에서 먼저 고려하는 장치다.	chapter_5 priority_purchase trap
우선구매 제도를 10초 안에 쉬운 말로 설명하면?	정책적으로 키워야 할 제품이나 기업을 공공구매에서 먼저 고려하는 장치다.<br><br><b>시험 포인트</b>: 우선구매 제도는 법령과 정책 목적에 따라 특정 대상 제품이나 기업의 제품을 공공기관이 우선 구매하도록 하는 제도다.	chapter_5 priority_purchase adhd_short
공공조달의 이해 제5장 제1절의 핵심 키워드는?	<b>우선구매 제도</b><br>전략적 조달의 활용<br>chapter_5, priority_purchase	chapter_5 priority_purchase source_map
"시험장에서 ""우선구매 제도""가 나오면 먼저 떠올릴 기준은?"	<b>판단 기준</b>: 정책적으로 키워야 할 제품이나 기업을 공공구매에서 먼저 고려하는 장치다.<br><br><b>왜 중요한가</b>: 우선구매 제도는 법령과 정책 목적에 따라 특정 대상 제품이나 기업의 제품을 공공기관이 우선 구매하도록 하는 제도다.	chapter_5 priority_purchase exam_trigger
"다음 표현이 왜 위험할까?<br>""우선구매가 모든 경우에 일반 경쟁 원칙을 완전히 배제한다고 보면 틀리다."""	<b>위험한 이유</b>: 이 표현은 우선구매 제도의 범위를 좁히거나 원칙과 예외를 섞을 수 있습니다.<br><br><b>정리</b>: 우선구매 제도는 법령과 정책 목적에 따라 특정 대상 제품이나 기업의 제품을 공공기관이 우선 구매하도록 하는 제도다.	chapter_5 priority_purchase wrong_phrase
우선구매 제도를 다른 개념과 헷갈리지 않으려면 어떤 단어에 표시할까?	<b>표시할 단어</b>: 우선구매 제도<br><b>연결 범위</b>: 전략적 조달의 활용<br><b>암기 문장</b>: 정책적으로 키워야 할 제품이나 기업을 공공구매에서 먼저 고려하는 장치다.	chapter_5 priority_purchase keyword_anchor
우선구매 제도 관련 문제에서 제거해야 할 선택지 패턴은?	"<b>제거 패턴</b>: ""항상"", ""오직"", ""가격만"", ""절차 생략"", ""조달청만""처럼 범위를 과도하게 단정하는 표현입니다.<br><br><b>정답 방향</b>: 정책적으로 키워야 할 제품이나 기업을 공공구매에서 먼저 고려하는 장치다."	chapter_5 priority_purchase choice_elimination
중소기업지원 조달이란?	중소기업지원 조달은 중소기업자 간 경쟁, 판로 지원, 구매 목표 등으로 공공시장 접근성을 높이는 제도 묶음이다.<br><br><b>쉬운 말</b>: 중소기업이 공공시장에 들어올 수 있도록 제도적으로 문을 열어주는 것이다.<br><b>출처</b>: 공공조달의 이해 제5장 제2절	chapter_5 sme_support definition
중소기업지원 조달에서 조심할 오답 함정은?	지원 제도라도 계약 품질과 절차 기준을 무시하는 것은 아니다.<br><br><b>복습 힌트</b>: 중소기업이 공공시장에 들어올 수 있도록 제도적으로 문을 열어주는 것이다.	chapter_5 sme_support trap
중소기업지원 조달를 10초 안에 쉬운 말로 설명하면?	중소기업이 공공시장에 들어올 수 있도록 제도적으로 문을 열어주는 것이다.<br><br><b>시험 포인트</b>: 중소기업지원 조달은 중소기업자 간 경쟁, 판로 지원, 구매 목표 등으로 공공시장 접근성을 높이는 제도 묶음이다.	chapter_5 sme_support adhd_short
공공조달의 이해 제5장 제2절의 핵심 키워드는?	<b>중소기업지원 조달</b><br>전략적 조달의 활용<br>chapter_5, sme_support	chapter_5 sme_support source_map
"시험장에서 ""중소기업지원 조달""가 나오면 먼저 떠올릴 기준은?"	<b>판단 기준</b>: 중소기업이 공공시장에 들어올 수 있도록 제도적으로 문을 열어주는 것이다.<br><br><b>왜 중요한가</b>: 중소기업지원 조달은 중소기업자 간 경쟁, 판로 지원, 구매 목표 등으로 공공시장 접근성을 높이는 제도 묶음이다.	chapter_5 sme_support exam_trigger
"다음 표현이 왜 위험할까?<br>""지원 제도라도 계약 품질과 절차 기준을 무시하는 것은 아니다."""	<b>위험한 이유</b>: 이 표현은 중소기업지원 조달의 범위를 좁히거나 원칙과 예외를 섞을 수 있습니다.<br><br><b>정리</b>: 중소기업지원 조달은 중소기업자 간 경쟁, 판로 지원, 구매 목표 등으로 공공시장 접근성을 높이는 제도 묶음이다.	chapter_5 sme_support wrong_phrase
중소기업지원 조달를 다른 개념과 헷갈리지 않으려면 어떤 단어에 표시할까?	<b>표시할 단어</b>: 중소기업지원 조달<br><b>연결 범위</b>: 전략적 조달의 활용<br><b>암기 문장</b>: 중소기업이 공공시장에 들어올 수 있도록 제도적으로 문을 열어주는 것이다.	chapter_5 sme_support keyword_anchor
중소기업지원 조달 관련 문제에서 제거해야 할 선택지 패턴은?	"<b>제거 패턴</b>: ""항상"", ""오직"", ""가격만"", ""절차 생략"", ""조달청만""처럼 범위를 과도하게 단정하는 표현입니다.<br><br><b>정답 방향</b>: 중소기업이 공공시장에 들어올 수 있도록 제도적으로 문을 열어주는 것이다."	chapter_5 sme_support choice_elimination
녹색조달 활용이란?	녹색조달 활용은 친환경 인증, 구매 의무, 평가 요소 등을 통해 환경성이 높은 제품 구매를 촉진하는 실무 영역이다.<br><br><b>쉬운 말</b>: 친환경을 실제 구매 기준에 넣는 방식이다.<br><b>출처</b>: 공공조달의 이해 제5장 제3절	chapter_5 green_practice definition
녹색조달 활용에서 조심할 오답 함정은?	녹색조달은 기관의 자율 캠페인만으로 끝나는 개념이 아니다.<br><br><b>복습 힌트</b>: 친환경을 실제 구매 기준에 넣는 방식이다.	chapter_5 green_practice trap
녹색조달 활용를 10초 안에 쉬운 말로 설명하면?	친환경을 실제 구매 기준에 넣는 방식이다.<br><br><b>시험 포인트</b>: 녹색조달 활용은 친환경 인증, 구매 의무, 평가 요소 등을 통해 환경성이 높은 제품 구매를 촉진하는 실무 영역이다.	chapter_5 green_practice adhd_short
공공조달의 이해 제5장 제3절의 핵심 키워드는?	<b>녹색조달 활용</b><br>전략적 조달의 활용<br>chapter_5, green_practice	chapter_5 green_practice source_map
"시험장에서 ""녹색조달 활용""가 나오면 먼저 떠올릴 기준은?"	<b>판단 기준</b>: 친환경을 실제 구매 기준에 넣는 방식이다.<br><br><b>왜 중요한가</b>: 녹색조달 활용은 친환경 인증, 구매 의무, 평가 요소 등을 통해 환경성이 높은 제품 구매를 촉진하는 실무 영역이다.	chapter_5 green_practice exam_trigger
"다음 표현이 왜 위험할까?<br>""녹색조달은 기관의 자율 캠페인만으로 끝나는 개념이 아니다."""	<b>위험한 이유</b>: 이 표현은 녹색조달 활용의 범위를 좁히거나 원칙과 예외를 섞을 수 있습니다.<br><br><b>정리</b>: 녹색조달 활용은 친환경 인증, 구매 의무, 평가 요소 등을 통해 환경성이 높은 제품 구매를 촉진하는 실무 영역이다.	chapter_5 green_practice wrong_phrase
